dataset	lang	size	bpe.tokens	model	query	map	map.gm	p.5	p.10	r.10	rbo	ndcg	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
wiki	de	75000	16000	bm25	all	0.7324	0.2525	0.1597	0.0827	0.8271	0.384002441768969	0.7726	26.7	27.7	24.9	26	60.3	62	58.2	60.1	33.9	35.2	33	34.3	21.2	22	20	21	13.5	14.2	12.4	13.1
wiki	cs	125000	32000	bm25	all	0.6341	0.1315	0.1411	0.0749	0.7492	0.333256323017353	0.6852	29.4	30.8	27.4	29	62.6	64.6	60.2	62.5	36.3	37.9	34.8	36.5	23.2	24.5	21.6	22.9	15.2	16.1	13.7	14.8
wiki	cs	200000	32000	bm25	all	0.6608	0.1602	0.1474	0.0776	0.7756	0.348966114710979	0.7095	31.5	32.8	29.5	31	63.9	65.9	61.7	64	38.1	39.7	36.6	38.3	25	26.2	23.4	24.7	16.8	17.7	15.3	16.3
wiki	cs	125000	16000	neural	all	0.0856	0.0012	0.023	0.0164	0.1638	0.103805072510242	0.1699	28.7	30	26.7	28.1	61.9	63.9	59.4	61.7	35.5	37.1	34.1	35.7	22.7	23.8	21.2	22.3	14.8	15.7	13.4	14.3
wiki	de	150000	16000	bm25	all	0.774	0.3357	0.1673	0.0864	0.8643	0.407637819804947	0.8098	29.5	30.7	27.8	29	62.4	64.2	60.4	62.5	36.6	37.9	35.6	37	23.6	24.6	22.5	23.5	15.6	16.4	14.4	15.2
wiki	de	175000	16000	neural	all	0.1066	0.0029	0.0302	0.0213	0.213	0.124609581248128	0.2044	30.6	31.8	29	30.2	63.3	65.1	61.4	63.4	37.8	39.1	36.8	38.2	24.7	25.7	23.6	24.6	16.5	17.2	15.3	16.2
wiki	de	150000	32000	neural	all	0.0948	0.0021	0.0264	0.0185	0.1848	0.115407008508155	0.1887	30	31.1	28.3	29.5	63	64.7	61.1	63.2	37.1	38.4	36.2	37.7	24.1	25	23	24	16	16.8	14.9	15.7
wiki	cs	200000	16000	bm25	all	0.6917	0.1944	0.1527	0.08	0.8004	0.373980205122313	0.7368	30.7	32	28.7	30.1	63	65	60.7	63	37.2	38.8	35.7	37.4	24.2	25.4	22.6	23.9	16.1	17	14.6	15.6
wiki	cs	175000	16000	bm25	all	0.6988	0.2056	0.1543	0.0808	0.8082	0.374852362274036	0.7433	31	32.4	29.1	30.6	63.6	65.6	61.3	63.6	37.8	39.4	36.3	38	24.8	26	23.2	24.5	16.6	17.5	15.2	16.2
wiki	de	25000	32000	neural	all	0.0378	2e-04	0.0104	0.0074	0.0744	0.0560797590907879	0.0933	18.5	19	16.7	17.3	51.8	52.9	48.8	50.1	24.9	25.6	23.7	24.5	13.6	14.1	12.4	12.9	7.7	7.9	6.7	7
wiki	cs	200000	16000	neural	all	0.0908	0.0017	0.0252	0.0174	0.1738	0.114481512281419	0.181	30.7	32	28.7	30.1	63	65	60.7	63	37.2	38.8	35.7	37.4	24.2	25.4	22.6	23.9	16.1	17	14.6	15.6
wiki	cs	50000	32000	neural	all	0.0558	4e-04	0.0146	0.0105	0.1046	0.0706298809647909	0.1219	23.5	24.8	21.6	22.9	57.1	59.1	54.3	56.6	29.8	31.4	28.2	29.9	17.6	18.7	16.1	17.2	10.7	11.5	9.5	10.2
wiki	cs	175000	32000	neural	all	0.0834	0.0012	0.023	0.0165	0.1646	0.106775153545044	0.1668	31.2	32.5	29.2	30.7	63.3	65.2	61.2	63.4	37.5	39	36.1	37.7	24.5	25.6	23	24.2	16.4	17.3	15	15.9
wiki	cs	75000	16000	bm25	all	0.6161	0.1093	0.1378	0.0733	0.7332	0.327114739498712	0.6677	25.8	27.1	23.8	25.1	58.7	60.7	56.1	58.4	32	33.5	30.5	32.1	19.5	20.6	18	19.1	12.2	13	10.9	11.7
